level_0,Action,Documentary,Adventure,Comedy,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Animation,Language,combined_features,title,id,popularity,keywords,index
117857,,Documentary,,,,,,History,,,,,,,,,,,English, Documentary      History           English bare knuckle boxing slavery interracial relationship slave owner ,Mandingo,38027,15.317,bare knuckle boxing slavery interracial relationship slave owner ,1339
117928,,,,,,,,,,,,,,,,,,Animation,English,"                 Animation English france detective marseille, france drug addiction heroin cold turkey investigation policeman illegal drugs ",French Connection II,10711,9.452,"france detective marseille, france drug addiction heroin cold turkey investigation policeman illegal drugs ",1340
117939,,,,,,Family,Fantasy,,,,,,Science Fiction,,,,,Animation,English,     Family Fantasy      Science Fiction     Animation English robbery diamond côte d'azur inspector panther ,The Return of the Pink Panther,11843,19.207,robbery diamond côte d'azur inspector panther ,1341
117941,,,,,,,,,,Music,,,,,,,,,English,         Music         English assassin based on novel or book hitman mountain climbing alps mountains swiss alps ,The Eiger Sanction,20187,14.626,assassin based on novel or book hitman mountain climbing alps mountains swiss alps ,1342
117944,,,,,,,,,,,,,,,,,,,English,                  English prison mexico pilot escape wrongful imprisonment false accusations corrupt official trying to escape escape attempt rescue operation ,Breakout,31671,9.423,prison mexico pilot escape wrongful imprisonment false accusations corrupt official trying to escape escape attempt rescue operation ,1343
117948,,Documentary,,,,,,,,,,,,,,,,,Foreign, Documentary                 Foreign morocco desert berber abduction early 1900s ,The Wind and the Lion,14815,9.117,morocco desert berber abduction early 1900s ,1344
118125,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign chess dolphin florida keys stuntman scuba diving divorce private detective movie set glass bottom boat missing daughter neo-noir ,Night Moves,32042,11.02,chess dolphin florida keys stuntman scuba diving divorce private detective movie set glass bottom boat missing daughter neo-noir ,1345
118155,,,,,,,,,,,,,,,,,,,English,                  English based on novel or book beach fishing atlantic ocean bathing shipwreck shark attack police chief ferry boat dying and death animal attack long island dead child creature skinny dipping shark great white shark dead dog child killed by animal fourth of july severed leg fishing boat animal horror shark cage ,Jaws,578,46.478,based on novel or book beach fishing atlantic ocean bathing shipwreck shark attack police chief ferry boat dying and death animal attack long island dead child creature skinny dipping shark great white shark dead dog child killed by animal fourth of july severed leg fishing boat animal horror shark cage ,1346
118176,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign future dystopia games rollerskating future sport ,Rollerball,11484,13.089,future dystopia games rollerskating future sport ,1347
118185,,,,,Drama,,,,,,,,,,Thriller,,,,English,"    Drama          Thriller    English heroin gangster bangkok, thailand police hong kong ",Flatfoot in Hong Kong,11053,9.241,"heroin gangster bangkok, thailand police hong kong ",1348
118186,,,,,,,,,,,,,,,,,,,English,                  English mexico nun satanism murder nunsploitation ,Satanic Pandemonium,57084,10.667,mexico nun satanism murder nunsploitation ,1349
118210,,,,Comedy,,,,,,,,,,,,,,,English,   Comedy               English map hermit exploration tiger getting lost friendship fur trapping stadt russian soldier nature siberia 1910s ,Dersu Uzala,9764,11.877,map hermit exploration tiger getting lost friendship fur trapping stadt russian soldier nature siberia 1910s ,1350
118244,,,,,,,,,,,,,,,,,,,English,                  English erotic movie ,Perverse Isabelle,641856,13.165,erotic movie ,1351
118295,,,,Comedy,Drama,,,,,,,,,,,,,,Foreign,   Comedy Drama              Foreign high school teacher pretending to be gay ,The School Teacher,106909,15.377,high school teacher pretending to be gay ,1352
118388,,,Adventure,,,,,History,,,,,,,,,,Animation,Foreign,  Adventure     History          Animation Foreign joke male friendship ,My Friends,20914,9.903,joke male friendship ,1353
118421,,,,,,,,,,,,,,,,,,,Foreign,"                  Foreign new york city bank hostage fbi police heist bank robbery brooklyn, new york city bank cashier car procession attica unhappy marriage based on magazine, newspaper or article ",Dog Day Afternoon,968,16.988,"new york city bank hostage fbi police heist bank robbery brooklyn, new york city bank cashier car procession attica unhappy marriage based on magazine, newspaper or article ",1354
118449,,,,Comedy,,,,,,,,,,,,,,,Foreign,"   Comedy               Foreign suspicion of murder los angeles, california philip marlowe ","Farewell, My Lovely",1835,11.9,"suspicion of murder los angeles, california philip marlowe ",1355
118450,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign based on novel or book australia orphanage girls' boarding school hanging rock based on true story thriller coming of age cult film atmospheric valentine's day early 1900s dreamy ,Picnic at Hanging Rock,11020,9.748,based on novel or book australia orphanage girls' boarding school hanging rock based on true story thriller coming of age cult film atmospheric valentine's day early 1900s dreamy ,1356
118471,,,,,,,,,,,,,,,,,,,Foreign,"                  Foreign bare knuckle boxing martial arts new orleans, louisiana louisiana gangster great depression sports street fighter fighting illegal fistfight streetfighting prizefight neo-noir boxing 1930s action hero ",Hard Times,22094,13.526,"bare knuckle boxing martial arts new orleans, louisiana louisiana gangster great depression sports street fighter fighting illegal fistfight streetfighting prizefight neo-noir boxing 1930s action hero ",1357
118490,,,,Comedy,Drama,,,,,,,Romance,,,,,,,English,   Comedy Drama       Romance       English transvestism transylvania rock 'n' roll time warp castle musical based on play or musical cult film psychotronic audience participation dark and stormy night lgbt interest ,The Rocky Horror Picture Show,36685,16.391,transvestism transylvania rock 'n' roll time warp castle musical based on play or musical cult film psychotronic audience participation dark and stormy night lgbt interest ,1358
118493,,Documentary,,,,,,,,,,,,,,,,,English, Documentary                 English fight village police bandit ,Sholay,12259,9.232,fight village police bandit ,1359
118518,,,Adventure,,Drama,,Fantasy,,,,,,,,,,,,Foreign,  Adventure  Drama  Fantasy            Foreign beach painting priest portrait underage sex portrait painting pre-teen posing for a portrait ,Cookies,35549,10.113,beach painting priest portrait underage sex portrait painting pre-teen posing for a portrait ,1360
118520,,,,,,,,,,,,,,,,,,,English,                  English forest stalking werewolf erotic movie ,The Beast,44132,14.231,forest stalking werewolf erotic movie ,1361
118535,,,,Comedy,Drama,,,,,,,,,,,,,,English,"   Comedy Drama              English rape repayment world war ii castle dying and death normandy, france revenge rape and revenge ",The Old Gun,3480,11.397,"rape repayment world war ii castle dying and death normandy, france revenge rape and revenge ",1362
118557,,,,,Drama,,,,,,,,,TV Movie,Thriller,,,,Foreign,    Drama         TV Movie Thriller    Foreign based on novel or book bondage eroticism subjection sadomasochism fashion photographer bdsm kinky sex ,The Story of O,4561,20.541,based on novel or book bondage eroticism subjection sadomasochism fashion photographer bdsm kinky sex ,1363
118731,,,,Comedy,Drama,,,,,,,,,,,,,,Foreign,   Comedy Drama              Foreign cia office conspiracy condor christmas political thriller ,Three Days of the Condor,11963,12.55,cia office conspiracy condor christmas political thriller ,1364
118769,,,,,,,,,,,,,,,,,,,English,                  English experiment prisoner of war sadism necrophilia sexploitation nazisploitation (nazi exploitation film) ilse koch ,Ilsa: She Wolf of the SS,20850,9.678,experiment prisoner of war sadism necrophilia sexploitation nazisploitation (nazi exploitation film) ilse koch ,1365
118831,,,,,,,,,Horror,,,,,,,,,,English,"        Horror          English lovesickness based on novel or book women's sexual identity hypnosis love letter one-sided love nova scotia, canada barbados bed and breakfast (b&b) channel islands insanity stalker love lieutenant ",The Story of Adele H.,1829,10.767,"lovesickness based on novel or book women's sexual identity hypnosis love letter one-sided love nova scotia, canada barbados bed and breakfast (b&b) channel islands insanity stalker love lieutenant ",1366
118845,Action,,,,,,Fantasy,,Horror,,,,,,,,,,English,Action      Fantasy  Horror          English panic attack sexual attraction zombie organ transplant parasite infestation sex fiend ,Shivers,27429,14.446,panic attack sexual attraction zombie organ transplant parasite infestation sex fiend ,1367
118885,,,,,,,,,,,,,,,,,,,English,                  English gunslinger rape sequel battle ,Rooster Cogburn,17538,10.303,gunslinger rape sequel battle ,1368
118920,Action,,,,,,,,,,,,,,Thriller,,,,English,Action              Thriller    English fog bear hedgehog short film ,Hedgehog in the Fog,36129,10.701,fog bear hedgehog short film ,1369
118979,,,,,,,,,,Music,,,,,,,,,English,         Music         English seduction teacher teenage girl school loss of virginity skinny dipping exhibitionism erotic movie teasing exhibitionist ,The Teasers,98025,11.75,seduction teacher teenage girl school loss of virginity skinny dipping exhibitionism erotic movie teasing exhibitionist ,1370
119088,,,,Comedy,,Family,,,,,,,,,,,,,English,"   Comedy  Family             English nurse based on novel or book oregon, usa lunatic asylum friendship hospital female villain shock treatment ",One Flew Over the Cuckoo's Nest,510,25.317,"nurse based on novel or book oregon, usa lunatic asylum friendship hospital female villain shock treatment ",1371
119123,,Documentary,,,,,,,,Music,,,,,,,,,English, Documentary        Music         English italy rape fascism bishop fascist sadism dark comedy torture sexual torture libertine coprophilia scat catholicism lgbt interest ,"Salò, or the 120 Days of Sodom",5336,37.39,italy rape fascism bishop fascist sadism dark comedy torture sexual torture libertine coprophilia scat catholicism lgbt interest ,1372
119152,,,,Comedy,,,,,,,,Romance,,,,,,,Foreign,   Comedy        Romance       Foreign gambling based on novel or book palace british army fencing epic debt duel ireland british soldier 18th century pistol duel seven years war nobility prussia ,Barry Lyndon,3175,17.295,gambling based on novel or book palace british army fencing epic debt duel ireland british soldier 18th century pistol duel seven years war nobility prussia ,1373
119161,,,,,Drama,,,,,,,Romance,,,,,,,Foreign,    Drama       Romance       Foreign africa photographer voyeur erotic movie ,Black Emanuelle,40348,11.736,africa photographer voyeur erotic movie ,1374
119206,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign robbery journalist gold cheating treasure coronation con man british army british empire friends soldier king battle ruler based on short story 19th century british raj ,The Man Who Would Be King,983,10.177,robbery journalist gold cheating treasure coronation con man british army british empire friends soldier king battle ruler based on short story 19th century british raj ,1375
119245,,Documentary,,,,,,,,,,,,,,,,,English, Documentary                 English prisoner governor army u.s. marshal train ,Breakheart Pass,8043,12.322,prisoner governor army u.s. marshal train ,1376
119284,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English spoof sherlock holmes ,The Adventure of Sherlock Holmes' Smarter Brother,29859,9.8,spoof sherlock holmes ,1377
119291,,,,,,,,,,Music,,,,,,,,,Foreign,         Music         Foreign 1970s open relationship erotic movie ,Emmanuelle: The Joys of a Woman,28209,15.914,1970s open relationship erotic movie ,1378
119297,Action,,,,,,,,,,,,Science Fiction,,,,,,English,Action            Science Fiction      English prison hostage outlaw native american ,"A Genius, Two Friends, and an Idiot",10915,9.629,prison hostage outlaw native american ,1379
119302,,,,Comedy,Drama,,,,,,,,,,,,,,Foreign,   Comedy Drama              Foreign cia traitor hitman revenge betrayal ,The Killer Elite,31604,10.393,cia traitor hitman revenge betrayal ,1380
119358,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign airship disaster dirigible ,The Hindenburg,17599,10.783,airship disaster dirigible ,1381
119468,,,,Comedy,,,,,Horror,,,,,,,,,,English,   Comedy     Horror          English france love at first sight parent child relationship puberty eroticism first time women's sexual identity provocation precocity girls' boarding school teenage crush woman director ,A Real Young Girl,1631,23.075,france love at first sight parent child relationship puberty eroticism first time women's sexual identity provocation precocity girls' boarding school teenage crush woman director ,1382
119472,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign california baseball sports coach alcoholic little league kids’ sports team ,The Bad News Bears,23479,10.266,california baseball sports coach alcoholic little league kids’ sports team ,1383
120260,,,,Comedy,,,,,,,,Romance,,,Thriller,,,,English,   Comedy        Romance   Thriller    English dancing europe dream kingdom based on comic thief goat king magical object flute middle age belgian page midget ,The Smurfs and the Magic Flute,53566,9.031,dancing europe dream kingdom based on comic thief goat king magical object flute middle age belgian page midget ,1384
120328,,Documentary,,,,,,,,Music,,,,,,,,,Foreign, Documentary        Music         Foreign spaghetti western ,God's Gun,79194,10.336,spaghetti western ,1385
120396,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign new york city vietnam veteran taxi pornography obsession pimp taxi driver drug dealer politician firearm vigilante junk food alienation misanthrophy illegal prostitution character study loner neo-noir child prostitution new hollywood drives ,Taxi Driver,103,50.947,new york city vietnam veteran taxi pornography obsession pimp taxi driver drug dealer politician firearm vigilante junk food alienation misanthrophy illegal prostitution character study loner neo-noir child prostitution new hollywood drives ,1386
120447,,,,Comedy,,,,,,,,,,,,,,,English,   Comedy               English strip club mobster neo-noir ,The Killing of a Chinese Bookie,32040,10.775,strip club mobster neo-noir ,1387
120525,,,,Comedy,,,,,,,,,,,,,,Animation,Foreign,,"Ilsa, Harem Keeper of the Oil Sheiks",7392,10.352,,1388
120527,,,,,,,,,,,Mystery,Romance,,,,,,,English,          Mystery Romance       English rape country house sadism writer's block psychopath controversy revenge murder secretary writer lesbian sex novelist ,Exposé,39924,10.495,rape country house sadism writer's block psychopath controversy revenge murder secretary writer lesbian sex novelist ,1389
120539,,,,Comedy,,,,,,,,Romance,,,,,,,Foreign,   Comedy        Romance       Foreign eroticism ,Salon Kitty,40394,15.83,eroticism ,1390
120552,,Documentary,,,,,,,,Music,,,,,,,,,English, Documentary        Music         English based on novel or book infidelity puberty cabin farm coming of age summer older woman younger man relationship sexual awakening 1950s small community ,The Summer I Turned 15,281007,11.62,based on novel or book infidelity puberty cabin farm coming of age summer older woman younger man relationship sexual awakening 1950s small community ,1391
120572,,,,Comedy,,,,,,,,Romance,,,,,,,Foreign,   Comedy        Romance       Foreign islam angel middle east muslim epic religion historical fiction arab mohammed mecca 7th century ,The Message,26842,11.078,islam angel middle east muslim epic religion historical fiction arab mohammed mecca 7th century ,1392
120592,,,,,,,,,,,,,,,,,,,English,                  English england crusade robin hood 12th century king richard ,Robin and Marian,10786,11.451,england crusade robin hood 12th century king richard ,1393
120654,,,,,,,,,Horror,,,,,,Thriller,,,,English,        Horror      Thriller    English extraterrestrial technology dystopia alien life-form cult film ,The Man Who Fell to Earth,991,11.603,extraterrestrial technology dystopia alien life-form cult film ,1394
120761,,,,,,,,,,,,,,,,,,Animation,English,                 Animation English rape lawyer rape and revenge ,Lipstick,59809,10.092,rape lawyer rape and revenge ,1395
120783,,,,,,,,,,,,,,,,,,Animation,English,"                 Animation English washington dc, usa journalist newspaper burglar fbi wiretap watergate scandal plan shadowing politics based on true story conspiracy newspaper man watergate ",All the President's Men,891,15.476,"washington dc, usa journalist newspaper burglar fbi wiretap watergate scandal plan shadowing politics based on true story conspiracy newspaper man watergate ",1396
120813,,Documentary,,,Drama,,,,,,,,,,,,,,English, Documentary   Drama              English fortune teller detective kidnapping fake identity fraud greed investigation murder heir spiritualist armed robbery ,Family Plot,5854,11.216,fortune teller detective kidnapping fake identity fraud greed investigation murder heir spiritualist armed robbery ,1397
120906,,,,,Drama,,,,,,,Romance,,,,,,,Foreign,    Drama       Romance       Foreign based on novel or book sports bodybuilding gym ,Stay Hungry,5228,10.227,based on novel or book sports bodybuilding gym ,1398
120932,,,,Comedy,,,,,,,,,,,,,,,English,"   Comedy               English based on novel or book husband wife relationship pregnant wife killer children small village mediterranean sea popular festivity isolated island costa brava, spain spanish folklore ",Who Can Kill a Child?,43751,13.164,"based on novel or book husband wife relationship pregnant wife killer children small village mediterranean sea popular festivity isolated island costa brava, spain spanish folklore ",1399
121069,,Documentary,,,,,,,,,,,,,,,,,English, Documentary                 English new york city prohibition era gangster musical 1920s all child cast gangster comedy ,Bugsy Malone,8446,10.559,new york city prohibition era gangster musical 1920s all child cast gangster comedy ,1400
121077,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English pornography jealousy brothel passion longing geisha deceived wife based on true story prostitution 1930s ,In the Realm of the Senses,5879,27.801,pornography jealousy brothel passion longing geisha deceived wife based on true story prostitution 1930s ,1401
121115,,,,,,,Fantasy,,,,,,,,Thriller,,,,English,      Fantasy        Thriller    English italy resistance fascism epic execution death catholicism communism ,1900,3870,15.483,italy resistance fascism epic execution death catholicism communism ,1402
121125,,,,,,,,,,,,,,,,,,,Foreign,"                  Foreign paris, france world war ii jew persecution art dealer doppelgänger police raid nazi collaborationism nazi occupation 1940s ",Mr. Klein,58925,12.31,"paris, france world war ii jew persecution art dealer doppelgänger police raid nazi collaborationism nazi occupation 1940s ",1403
121143,,Documentary,,,,,,,,Music,,,,,,,,,Foreign," Documentary        Music         Foreign paris, france suicide identity psychopath lodger neighbor tenant apartment building rented rooms ",The Tenant,11482,11.497,"paris, france suicide identity psychopath lodger neighbor tenant apartment building rented rooms ",1404
121248,,Documentary,,,,,,,,,,,,,,,,,English, Documentary                 English monk prophecy ambassador nanny rottweiler devil's son revelation photography anti-christ priest decapitation paranormal phenomena cowardliness baboon archaeologist ,The Omen,794,26.07,monk prophecy ambassador nanny rottweiler devil's son revelation photography anti-christ priest decapitation paranormal phenomena cowardliness baboon archaeologist ,1405
121323,,,,,,,,,,,,,,,,,,,English,                  English screenplay stuntman slapstick mime hollywood silent film ,Silent Movie,10970,9.48,screenplay stuntman slapstick mime hollywood silent film ,1406
121329,,,,,Drama,,,,,,,,,TV Movie,Thriller,,,,Foreign,    Drama         TV Movie Thriller    Foreign world war ii u.s. navy battle of midway soldier american pacific theater 1940s ,Midway,11422,32.021,world war ii u.s. navy battle of midway soldier american pacific theater 1940s ,1407
121330,,,,,,Family,,,,,,,,,,,,Animation,English,     Family            Animation English american football based on novel or book canada island chicken horse human vs nature pregnancy animal attack greed worm gore wasp thunderstorm hunting deer hunting death giant animal flood giving birth rat british columbia ,The Food of the Gods,42245,10.073,american football based on novel or book canada island chicken horse human vs nature pregnancy animal attack greed worm gore wasp thunderstorm hunting deer hunting death giant animal flood giving birth rat british columbia ,1408
121347,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign killer robot utopia teleportation post-apocalyptic future dystopia plastic surgery escape fugitive robot cult film domed city totalitarianism population control ,Logan's Run,10803,18.08,killer robot utopia teleportation post-apocalyptic future dystopia plastic surgery escape fugitive robot cult film domed city totalitarianism population control ,1409
121348,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign detective butler deaf-mute guest parody murder spoof mansion whodunit sam spade cadaver charlie chan one night dark and stormy night sidekick old mansion blind butler ,Murder by Death,6037,11.95,detective butler deaf-mute guest parody murder spoof mansion whodunit sam spade cadaver charlie chan one night dark and stormy night sidekick old mansion blind butler ,1410
121349,,,,,,,,,,,,,,,,,,,Foreign,                  Foreign bus bus ride bus bomb slapstick parody disaster spoof madcap comedy disaster movie ,The Big Bus,19133,10.388,bus bus ride bus bomb slapstick parody disaster spoof madcap comedy disaster movie ,1411
121368,,,,,Drama,,,,Horror,,,,,,Thriller,,,,Foreign,    Drama    Horror      Thriller    Foreign loss of loved one showdown texas settler revenge native american comanche american civil war 19th century ,The Outlaw Josey Wales,10747,20.531,loss of loved one showdown texas settler revenge native american comanche american civil war 19th century ,1412
121369,,,,,,,,,Horror,,,,,,Thriller,,,,English,"        Horror      Thriller    English rome, italy gladiator roman empire mythology magic roman ancient rome village cartoon based on comic alternate history historical fiction 1st century celts centurions ",The Twelve Tasks of Asterix,9385,18.598,"rome, italy gladiator roman empire mythology magic roman ancient rome village cartoon based on comic alternate history historical fiction 1st century celts centurions ",1413
121392,,,,,,,,,,,Mystery,,,,,,,Animation,Foreign,          Mystery       Animation Foreign based on novel or book monster quicksand subterranean cavern cave woman ,At the Earth's Core,26398,10.958,based on novel or book monster quicksand subterranean cavern cave woman ,1414
121437,,,,,,,,,,Music,,,,,,,,,Foreign,         Music         Foreign martial arts kung fu fight ,New Fist of Fury,18666,9.874,martial arts kung fu fight ,1415
121475,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign based on novel or book nevada sniper widow retirement early 1900s ,The Shootist,12584,12.564,based on novel or book nevada sniper widow retirement early 1900s ,1416
121564,,Documentary,,,,,,,,,,,,,,,,,Foreign," Documentary                 Foreign money delivery sense of guilt ransom fake identity florence, italy art restoration ",Obsession,4780,11.543,"money delivery sense of guilt ransom fake identity florence, italy art restoration ",1417
121618,,,,Comedy,,,,,,,,,,,,,,Animation,Foreign,,The Con Artists,38362,9.769,,1418
121626,,,,,,,,,,,,,,,,,,,English,                  English clone journalist android killer robot robot as menace reporter doppelgänger world domination ,Futureworld,10640,13.114,clone journalist android killer robot robot as menace reporter doppelgänger world domination ,1419
121785,,,,Comedy,,,,,Horror,,,,,,,,,,English,"   Comedy     Horror          English indigenous giant snake remake giant animal world trade center manhattan, new york city giant ape indian ocean ",King Kong,10730,28.773,"indigenous giant snake remake giant animal world trade center manhattan, new york city giant ape indian ocean ",1420
121882,,,,,,,,,Horror,,,,,,,,,,English,,"Ugly, Dirty and Bad",19413,9.727,,1421
121908,,,,,,,,,,,,,,,,,,,English,                  English based on true story stalking serial killer killer fake documentary proto-slasher ,The Town That Dreaded Sundown,48197,9.222,based on true story stalking serial killer killer fake documentary proto-slasher ,1422
121991,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign new york city based on novel or book diamond nazi government conspiracy theft criminal agent dentist rogue ,Marathon Man,10518,13.409,new york city based on novel or book diamond nazi government conspiracy theft criminal agent dentist rogue ,1423
122036,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign kung fu buddhist shaolin martial arts master shaolin monk ,Shaolin Wooden Men,40829,13.552,kung fu buddhist shaolin martial arts master shaolin monk ,1424
122070,,,,,Drama,,,,,,,,,,,,,,English,    Drama              English child abuse based on novel or book husband wife relationship cemetery coffin window possession caretaker summer vacation old dark house old house psychosis ,Burnt Offerings,13549,11.778,child abuse based on novel or book husband wife relationship cemetery coffin window possession caretaker summer vacation old dark house old house psychosis ,1425
122090,,,,,,,,,,,,,,,,,,,English,                  English musical car wash ,Car Wash,15462,9.742,musical car wash ,1426
122127,,,,,Drama,Family,,,,,,,,,,,,,English,    Drama Family             English circus double life restaurant fast food restaurant clown talk show fake identity restaurant guide restaurant critic loss of taste escape duel torture food industry food critic father son relationship parisian surburb ,The Wing or the Thigh?,761,12.733,circus double life restaurant fast food restaurant clown talk show fake identity restaurant guide restaurant critic loss of taste escape duel torture food industry food critic father son relationship parisian surburb ,1427
122203,,,,Comedy,,,,,,,,,,,,,,,Foreign,   Comedy               Foreign based on novel or book cemetery isolation stage bible telekinesis revenge unrequited love prom teacher school religion cruelty rage humiliation crucifix praying outsider taunting abusive mother firestorm ,Carrie,7340,25.176,based on novel or book cemetery isolation stage bible telekinesis revenge unrequited love prom teacher school religion cruelty rage humiliation crucifix praying outsider taunting abusive mother firestorm ,1428
122215,,,,,Drama,Family,,,,,,,,,,,,,Foreign,"    Drama Family             Foreign ambush street gang child murder blackout siege police psychopath horror survival shootout gunfight los angeles, california brutality convict police station silencer jail cell ice cream man   modern-day western neo-western ice cream truck prison bus claustrophobic tense horror western ",Assault on Precinct 13,17814,10.647,"ambush street gang child murder blackout siege police psychopath horror survival shootout gunfight los angeles, california brutality convict police station silencer jail cell ice cream man   modern-day western neo-western ice cream truck prison bus claustrophobic tense horror western ",1429
122250,,,,,,,,,,,,,,,,,,,English,                  English underdog parent child relationship teenage crush illness plastic ,The Boy in the Plastic Bubble,9878,11.14,underdog parent child relationship teenage crush illness plastic ,1430
122265,,Documentary,,,,,,,,Music,,,,,,,,,Foreign, Documentary        Music         Foreign new york city corruption adultery television profit tv ratings satire murder corporate reporter co-workers relationship tv show in film meeting news fired network anchor tv news anchor ,Network,10774,15.193,new york city corruption adultery television profit tv ratings satire murder corporate reporter co-workers relationship tv show in film meeting news fired network anchor tv news anchor ,1431
122299,,,,,,,,,Horror,,,,,,,,,,English,        Horror          English producer ,The Last Tycoon,37774,10.687,producer ,1432
122321,,,,,Drama,,,,,,,,,TV Movie,,,,,English,"    Drama         TV Movie     English underdog philadelphia, pennsylvania transporter italian american fight love of one's life publicity boxer independence training lovers surprise world champion victory sports boxing ",Rocky,1366,56.82,"underdog philadelphia, pennsylvania transporter italian american fight love of one's life publicity boxer independence training lovers surprise world champion victory sports boxing ",1433
122345,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign civil war pile of dead bodies spaghetti western ,Keoma,6609,9.717,civil war pile of dead bodies spaghetti western ,1434
122400,Action,,Adventure,,,,,,,,,,,,,,,,English,"Action  Adventure                English kansas, usa two man army theft false accusations richard pryor semiautomatic pistol sleeping car ",Silver Streak,11558,9.553,"kansas, usa two man army theft false accusations richard pryor semiautomatic pistol sleeping car ",1435
122429,Action,,Adventure,,,Family,,,,,,,,,,,,,Foreign,Action  Adventure   Family             Foreign millionaire cadeau ,The Toy,56648,9.522,millionaire cadeau ,1436
122445,,Documentary,,,,,,,,,,,,,,,,,Foreign," Documentary                 Foreign venice, italy biography casanova based on memoir or autobiography 18th century libertine memoir ",Fellini's Casanova,42236,10.269,"venice, italy biography casanova based on memoir or autobiography 18th century libertine memoir ",1437
122473,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign police laughing gas ,The Pink Panther Strikes Again,12268,12.211,police laughing gas ,1438
122480,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign rock star romance fame ,A Star Is Born,19610,10.628,rock star romance fame ,1439
122489,,,,,,,,,Horror,,,,,,Thriller,,,,English,        Horror      Thriller    English based on children's book body-swap water skiing body switch field hockey ,Freaky Friday,16084,9.864,based on children's book body-swap water skiing body switch field hockey ,1440
122498,,,,,,,,,Horror,,,,,,Thriller,,,,Foreign,        Horror      Thriller    Foreign suicide hippie terrorist bridge quarantine murder train crash drug dealing doctor train disease drugs dog plague disaster movie suicide bomber germ warfare fake priest ,The Cassandra Crossing,32037,12.674,suicide hippie terrorist bridge quarantine murder train crash drug dealing doctor train disease drugs dog plague disaster movie suicide bomber germ warfare fake priest ,1441
122512,,,,,Drama,,,,,,,Romance,,,,,,,Foreign,"    Drama       Romance       Foreign san francisco, california alcatraz prison damage inspector magnum dirty harry ",The Enforcer,10649,14.563,"san francisco, california alcatraz prison damage inspector magnum dirty harry ",1442
122550,,Documentary,,,,,,,,Music,,,,,,,,,English, Documentary        Music         English england based on novel or book world war ii nazi benito mussolini british politics eye patch norfolk 1940s winston churchill alderney ,The Eagle Has Landed,11372,13.365,england based on novel or book world war ii nazi benito mussolini british politics eye patch norfolk 1940s winston churchill alderney ,1443
122561,,,Adventure,,Drama,,,,,,,,,,,,,,Foreign,  Adventure  Drama              Foreign redneck psychotic video nasty ,Eaten Alive,30062,14.319,redneck psychotic video nasty ,1444
123182,,,,Comedy,,,,,,,,,,,,,,,Foreign,,Porno Girls,615801,17.458,,1445
123408,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign journalist orgy snuff sexploitation corrupt politician erotic movie ,Emanuelle in America,28682,12.268,journalist orgy snuff sexploitation corrupt politician erotic movie ,1446
123419,,,,,Drama,,,,,,,,,,,,,,Foreign,"    Drama              Foreign italy based on novel or book secret society hell priest hellgate lawyer church model demon police detective crucifix brooklyn, new york city occult murder investigation ",The Sentinel,18196,11.107,"italy based on novel or book secret society hell priest hellgate lawyer church model demon police detective crucifix brooklyn, new york city occult murder investigation ",1447
123472,,,,,,,,,,,,,,,,,,Animation,English,                 Animation English training sports gym bodybuilding competition ,Pumping Iron,5205,14.35,training sports gym bodybuilding competition ,1448
123491,,,,,,,,,,,Mystery,,,,,,,Animation,English,          Mystery       Animation English exploitation women's prison nazisploitation (nazi exploitation film) video nasty ,Gestapo's Last Orgy,39987,9.189,exploitation women's prison nazisploitation (nazi exploitation film) video nasty ,1449
123536,,,,,Drama,,,,,,,,,,,,,,Foreign,    Drama              Foreign world war ii troops battle for power hostility commander lieutenant sergeant ,Cross of Iron,10839,10.0,world war ii troops battle for power hostility commander lieutenant sergeant ,1450
123548,,,,,,,,,,,,,,,,,,,English,                  English germany witch boarding school ballet whodunit young woman gothic cult film evil psychological horror coven (akelarre) ballet school ,Suspiria,11906,21.779,germany witch boarding school ballet whodunit young woman gothic cult film evil psychological horror coven (akelarre) ballet school ,1451
